INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
0;22.11.2020 0:00:00;1;0;86864
1;22.11.2020 0:00:00;1;0;85047
2;22.11.2020 0:00:00;1;0;84112
3;22.11.2020 0:00:00;1;0;84446
4;22.11.2020 0:00:00;1;0;84636
5;22.11.2020 0:00:00;1;0;86121
6;22.11.2020 0:00:00;1;0;88226
7;22.11.2020 0:00:00;1;0;90582
8;22.11.2020 0:00:00;1;0;94370
9;22.11.2020 0:00:00;1;0;97064
10;22.11.2020 0:00:00;1;0;97870
11;22.11.2020 0:00:00;1;0;98420
12;22.11.2020 0:00:00;1;0;98607
13;22.11.2020 0:00:00;1;0;98787
14;22.11.2020 0:00:00;1;0;99583
15;22.11.2020 0:00:00;1;0;100982
16;22.11.2020 0:00:00;1;0;103311
17;22.11.2020 0:00:00;1;0;102669
18;22.11.2020 0:00:00;1;0;102106
19;22.11.2020 0:00:00;1;0;100292
20;22.11.2020 0:00:00;1;0;98571
